Region|SoateRegion|Raion|SoateRaion7|Scm_Code|Scm_NewCode|NewName|Age|Total|men|women|visitTotal|VisitMen|VisitWomen|mhi
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|43|300|174|126|44|6|19|110
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|44|253|121|132|64|10|27|112
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|45|227|103|124|64|21|26|103
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|46|239|109|130|56|12|26|113
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|47|251|124|127|49|16|15|104
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|48|234|126|108|41|6|20|89
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|49|239|118|121|33|7|20|103
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|50|217|113|104|58|8|23|87
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|51|236|113|123|51|8|20|104
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|52|211|116|95|72|26|25|84
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|53|201|101|100|63|28|23|83
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|54|186|92|94|39|14|15|108
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|55|185|89|96|66|22|26|104
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|56|199|92|107|70|20|27|124
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|57|208|86|122|42|12|17|135
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|58|212|100|112|58|16|24|136
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|59|206|101|105|43|12|18|126
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|60|178|75|103|52|15|16|130
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|61|196|88|108|48|21|18|150
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|62|220|104|116|86|29|41|184
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|63|158|76|82|56|7|17|144
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|64|173|82|91|48|18|21|158
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|65|121|58|63|19|11|6|115
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|66|121|57|64|46|11|32|120
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|67|134|54|80|51|11|34|132
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|68|105|55|50|45|10|27|103
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|69|97|34|63|46|14|26|95
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|70|132|66|66|35|11|19|132
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|71|96|35|61|37|18|15|96
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|72|90|39|51|31|4|21|90
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|73|75|36|39|10|5|4|75
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|74|64|34|30|27|5|17|64
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|75|56|21|35|15|2|11|56
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|76|37|13|24|12|9|2|37
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|77|34|19|15|10|5|3|34
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|78|26|10|16|5|2|2|26
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|79|18|9|9|5|3|1|18
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|80|33|17|16|3|4|1|33
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|81|34|20|14|2|4|0|34
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|82|49|26|23|14|5|5|49
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|83|29|10|19|9|8|1|29
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|84|37|19|18|4|3|1|37
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|85|30|13|17|7|0|7|30
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|86|36|14|22|6|0|6|36
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|87|23|12|11|2|2|1|23
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|88|28|9|19|0|0|0|28
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|89|25|15|10|0|0|0|25
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|90|32|13|19|4|0|4|32
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|91|15|6|9|1|1|0|15
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|92|26|10|16|0|0|0|26
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|93|18|12|6|0|0|0|18
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|94|15|7|8|0|0|0|15
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|95|7|4|3|0|0|0|7
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|96|7|5|2|0|0|0|7
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|97|6|1|5|0|0|0|6
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|98|12|5|7|0|0|0|12
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|99|4|1|3|0|0|0|4
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|100|2|0|2|0|0|0|2
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|101|2|1|1|0|0|0|2
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|102|3|2|1|0|0|0|3
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|103|2|1|1|0|0|0|2
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|105|1|0|1|0|0|0|1
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|0|2323|1222|1101|7632|4148|3547|2323
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|1|2548|1313|1235|3195|1800|1437|2548
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|2|2503|1253|1250|2089|1100|997|2503
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|3|2583|1334|1249|1541|792|778|2583
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|4|2870|1488|1382|1363|754|631|2869
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|5|2588|1315|1273|1417|777|654|2588
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|6|2739|1417|1322|1612|844|794|2737
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|7|2746|1444|1302|1113|604|518|2746
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|8|2856|1422|1434|810|427|403|2853
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|9|2635|1352|1283|764|393|383|2632
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|10|2432|1219|1213|822|436|406|2428
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|11|2411|1227|1184|1018|490|536|2410
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|12|2363|1177|1186|680|292|397|2361
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|13|2084|1087|997|590|313|291|2083
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|14|1813|950|863|570|313|278|1811
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|15|1801|937|864|1078|630|477|1801
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|16|1557|812|745|1037|576|506|1555
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|17|1536|802|734|1841|1050|949|1522
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|18|1562|832|730|1475|853|729|1267
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|19|1559|793|766|1011|523|530|695
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|20|1552|803|749|1099|548|568|405
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|21|1624|861|763|1084|492|621|703
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|22|1578|854|724|1262|558|752|477
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|23|1880|1023|857|1399|600|849|332
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|24|1688|917|771|1403|603|840|390
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|25|1587|898|689|1309|510|837|445
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|26|1544|820|724|1453|628|879|531
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|27|1515|820|695|1441|585|898|634
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|28|1625|844|781|1446|597|910|865
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|29|1549|804|745|1406|575|903|886
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|30|1468|753|715|1157|484|737|863
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|31|1537|817|720|1226|502|770|885
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|32|1551|804|747|1267|507|809|912
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|33|1460|744|716|1179|434|787|880
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|34|1345|666|679|1230|504|787|820
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|35|1430|697|733|1375|595|824|921
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|36|1318|682|636|1123|445|729|808
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|37|1301|670|631|1012|433|619|798
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|38|1243|618|625|999|452|597|778
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|39|1178|593|585|784|285|533|704
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|40|1110|544|566|735|372|388|675
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|41|1068|546|522|743|364|406|605
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|42|935|455|480|702|357|383|523
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|43|949|473|476|569|276|313|509
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|44|875|437|438|536|268|297|433
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|45|808|421|387|609|327|302|405
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|46|881|449|432|629|337|313|428
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|47|800|399|401|533|294|260|382
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|48|732|360|372|648|307|361|355
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|49|838|406|432|612|284|342|410
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|50|704|353|351|571|247|351|360
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|51|807|400|407|681|294|419|403
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|52|694|336|358|634|268|388|383
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|53|768|369|399|678|295|396|419
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|54|699|353|346|572|283|303|408
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|55|647|331|316|544|263|299|386
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|56|676|303|373|645|300|368|446
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|57|663|309|354|703|336|379|480
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|58|668|321|347|629|321|327|508
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|59|613|288|325|586|285|315|500
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|60|615|270|345|653|271|403|504
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|61|632|304|328|608|277|341|529
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|62|570|277|293|583|280|319|490
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|63|534|248|286|591|296|332|484
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|64|531|228|303|537|238|314|494
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|65|453|191|262|419|183|239|445
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|66|397|194|203|447|252|200|394
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|67|365|148|217|435|201|240|364
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|68|339|146|193|378|197|189|336
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|69|269|112|157|328|117|218|267
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|70|304|124|180|337|131|228|304
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|71|229|112|117|322|165|161|229
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|72|260|112|148|277|125|159|260
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|73|219|102|117|258|121|139|219
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|74|181|88|93|176|86|95|181
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5504|514871|ЦСМ БАТКЕНСКИЙ ОБЛАСТНОЙ|75|124|47|77|115|43|74|124
